"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","fanpos","position"
"337","ramih003","Indians","Hanley Ramirez",20,7,242.427909778375,58.3741536111442,29.5812980314267,"1B","1B"
"338","ramij003","Indians","Jose Ramirez",637,155,387.481116852721,118.551624447554,45.1286324282795,"3B","3B"
"339","ramow001","Mets","Wilson Ramos",278,91,315.319561647574,67.3530485616633,38.3325117100581,"C","C"
"340","realj001","Phillies","J.T. Realmuto",454,130,388.741157470616,98.081319532637,44.216543886789,"C","C"
"341","reddj001","Astros","Josh Reddick",302.5,92,326.316174561912,87.286124154521,37.4555245294227,"OF","OF"
"342","reeda002","Astros","A.J. Reed",33,10,173.862616741009,37.4264207095031,20.2075853758708,"1B","1B"
"343","reinj001","Orioles","Jack Reinheimer",6.5,3,173.878074849263,33.8724829753707,19.9639238247352,"3B","OF"
"344","renda001","Nationals","Anthony Rendon",564.5,153,368.479475963395,91.1310102084672,43.7027397224968,"3B","3B"
"345","renfh001","Padres","Hunter Renfroe",258.5,76,386.71532273346,97.7657343791451,42.3954645899745,"OF","OF"
"346","reyef001","Padres","Franmil Reyes",464.5,133,NA,NA,NA,"OF","OF"
"347","reyep001","Pirates","Pablo Reyes",73,25,NA,NA,NA,"OF","OF"
"348","reyev001","Tigers","Victor Reyes",103.5,38,NA,NA,NA,"OF","OF"
"349","rickj001","Orioles","Joey Rickard",281.5,98,255.631503458993,62.6160135571007,29.5756653904826,"OF","OF"
"350","riddj001","Marlins","J.T. Riddle",313,117,278.724785847316,70.0958445650084,32.6669943934589,"SS","SS"
"351","rizza001","Cubs","Anthony Rizzo",581,155,359.72878330796,102.748189095274,42.5000855486895,"1B","1B"
"352","robed004","Rays","Daniel Robertson",261.5,90,343.523875777134,83.8909945290245,37.3650449356486,"2B","2B"
"353","robid003","Cardinals","Drew Robinson",44.5,15,264.558247355403,67.6186410575605,31.106507367486,"OF","OF"
