"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","position","points_sum_lag1","games_count_lag1","games_above_count_lag1","points_sd_lag1"
"127","dools001","Nationals","Sean Doolittle",427.5,65,45.9243001617054,27.4163075176693,-1.19418943905457,"C",330.5,43,1,2.6560326916589
"128","duenb001","Cubs","Brian Duensing",129,40,42.8091068940935,32.6700902075185,-0.464034175696636,"R",132.833333333333,48,1,4.26344897277076
"129","duffd001","Royals","Danny Duffy",368,31,327.108033139137,28.494623759951,2.3636000700323,"S",277.5,28,15,10.1918310448629
"130","dufft001","Twins","Tyler Duffey",69,20,105.155699034426,27.0286996092216,2.44590752618695,"R",76.5,19,1,5.28399141768268
"131","dukez001","Reds","Zach Duke",159,40,35.7091754872671,35.2600558319441,-0.498947858694934,"R",259,72,0,3.83611350498929
"132","dullr001","Athletics","Ryan Dull",101,30,70.9939231055963,31.8265433428968,-1.5459835936265,"R",133.666666666667,28,1,3.97683991781444
"133","dunnm002","Rockies","Mike Dunn",199,50,65.8261086176702,28.6203009431963,0.510588957346938,"R",54.5,25,0,4.18438455140945
"134","dysos001","Giants","Sam Dyson",261,60,91.7100835459835,36.1247293389723,1.4373102550506,"R",350.166666666667,74,1,2.91310187470253
"135","edwaj001","Indians","Jon Edwards",157,40,NA,NA,NA,"R",NA,NA,NA,NA
"136","efliz001","Phillies","Zach Eflin",298,26,320.938190146773,25.3824501564194,2.72411389402393,"S",266,24,13,9.23263482943628
"137","eickj001","Phillies","Jerad Eickhoff",110,10,211.499038063749,23.7976462921107,6.35473788980566,"R",15.6666666666667,3,0,3.88134188326857
"138","eliar001","Mariners","Roenis Elias",223.5,52,155.960130562214,24.6857025155653,3.68640999878913,"C",142.5,23,3,4.83689841714297
"139","eovan001","Red Sox","Nathan Eovaldi",340,28,NA,NA,NA,"S",NA,NA,NA,NA
"140","erlir001","Padres","Robbie Erlin",374.5,70,NA,NA,NA,"R",NA,NA,NA,NA
"141","estrm001","Athletics","Marco Estrada",215,23,293.972596532975,27.1296305865838,0.118148185393762,"S",207.833333333333,28,13,9.8725918710738
"142","famij001","Mets","Jeurys Familia",323.5,65,57.7576895341745,36.1788691787907,0.828612382508433,"C",422,70,6,4.67123408547436
"143","farij001","Rays","Jake Faria",50,5,328.28206419629,27.0370115679438,8.35809374171943,"S",104.5,17,7,11.4538449319646
"144","farmb001","Tigers","Buck Farmer",278,60,83.1157699337329,31.3907998736064,3.39177572330018,"R",233.666666666667,66,2,3.64364106027476
"145","farrl001","Rangers","Luke Farrell",35,10,72.8959975993043,23.838172968035,1.87592073947069,"R",99.6666666666667,20,1,5.90541925761306
"146","fedde001","Nationals","Erick Fedde",111,10,352.602207834114,20.9221641538285,5.72965066290047,"S",72.1666666666667,11,2,6.8715487204983
"147","felim001","Pirates","Michael Feliz",177,40,68.8608594706402,35.6057945607016,0.364217286763436,"R",238.833333333333,47,0,4.57226890320542
"148","fergc001","Dodgers","Caleb Ferguson",292.5,51,NA,NA,NA,"R",NA,NA,NA,NA
"149","fernj005","Tigers","Jose Fernandez",68.5,25,NA,NA,NA,"R",NA,NA,NA,NA
"150","fielj002","Brewers","Josh Fields",119.5,35,65.5944314574196,32.2164583684746,-1.04611953204481,"R",225.5,45,0,3.52684510060144
"151","fierm001","Athletics","Mike Fiers",297.5,26,343.553981505384,31.1960452028486,4.54138024879822,"S",388,31,20,7.62104236560533
"152","fillh001","Royals","Heath Fillmyer",177.5,38,NA,NA,NA,"S",NA,NA,NA,NA
"153","finnb001","Reds","Brandon Finnegan",46.5,15,310.570560409166,19.3978161495671,2.73816750870397,"S",7.33333333333333,5,0,6.17386966712666
"154","flahj002","Cardinals","Jack Flaherty",406,29,351.172750287777,31.0964671405855,4.80081846736335,"S",371.5,28,17,8.3462047861735
"155","flexc001","Mets","Chris Flexen",33,3,194.207926684831,19.8176230182287,8.32099261970607,"R",-4.83333333333333,4,0,3.69778462205563
"156","flord002","Dodgers","Dylan Floro",226,50,36.7971889124535,32.2293115827516,0.330905877973321,"R",277,54,4,4.17184165007726
"157","flynb001","Royals","Brian Flynn",81.5,25,106.51939076492,28.674787282314,5.98409351212004,"R",243.833333333333,48,4,4.11865811413748
"158","foltm001","Braves","Mike Foltynewicz",292,23,333.893435082332,33.8678797922719,3.13712255854371,"S",472.5,31,23,7.63663668330083
"159","fontw001","Rays","Wilmer Font",225.5,43,178.781273666464,24.5902243769991,6.39871895194727,"R",91,19,4,6.17213023865432
"160","frarc001","White Sox","Caleb Frare",145,40,NA,NA,NA,"R",NA,NA,NA,NA
"161","freek001","Rockies","Kyle Freeland",352.5,31,420.447184597961,34.1491624366151,5.66012858194732,"S",485.166666666667,33,24,5.86786765283998
"162","friem001","Braves","Max Fried",152,23,229.261329294665,28.051428682959,6.11876121301909,"R",94.8333333333333,14,4,7.90153267152763
"163","fry-j001","White Sox","Jace Fry",231,50,45.3016491426959,32.7474497495874,-0.691926266498761,"R",273.666666666667,59,4,5.02809658904702
"164","fry-p001","Orioles","Paul Fry",273,60,NA,NA,NA,"R",NA,NA,NA,NA
"165","fulmc001","White Sox","Carson Fulmer",85,16,293.508100200976,20.4762377810302,2.94401928074765,"S",12.1666666666667,9,3,12.6371488423694
"166","gagnd001","Mets","Drew Gagnon",101,30,NA,NA,NA,"R",NA,NA,NA,NA
"167","gallg001","Cardinals","Giovanny Gallegos",41,10,41.781494072306,24.6245153917043,0.193862761275347,"C",43.6666666666667,6,1,5.46470154381399
